video_id,camera,t_start,t_end,blob_path,n_detections
columpioscam2-2024-12-15_15-21-00.mp4,urn:ngsi-ld:camera:columpiosCam2,2024-12-15T21:21:00+00:00,2024-12-15T21:21:10.122188+00:00,columpioscam2-2024-12-15_15-21-00.mp4,908
columpioscam2-2024-12-14_12-12-00.mp4,urn:ngsi-ld:camera:columpiosCam2,2024-12-14T18:12:00.048208+00:00,2024-12-14T18:12:14.028584+00:00,columpioscam2-2024-12-14_12-12-00.mp4,896
columpios_cam4-2024-12-14_21-44-00.mp4,urn:ngsi-ld:camera:columpios_cam4,2024-12-15T03:44:00.042966+00:00,2024-12-15T03:44:10.097037+00:00,columpios_cam4-2024-12-14_21-44-00.mp4,895
columpioscam3-2024-12-14_09-14-00.mp4,urn:ngsi-ld:camera:columpiosCam3,2024-12-14T15:14:00.061404+00:00,2024-12-14T15:14:29.105627+00:00,columpioscam3-2024-12-14_09-14-00.mp4,892
columpioscam3-2024-12-17_08-34-00.mp4,urn:ngsi-ld:camera:columpiosCam3,2024-12-17T14:34:00+00:00,2024-12-17T14:34:10.081125+00:00,columpioscam3-2024-12-17_08-34-00.mp4,877
columpioscam3-2024-12-17_08-35-00.mp4,urn:ngsi-ld:camera:columpiosCam3,2024-12-17T14:35:00.042898+00:00,2024-12-17T14:35:10.081125+00:00,columpioscam3-2024-12-17_08-35-00.mp4,872
columpioscam2-2024-12-09_17-47-00.mp4,urn:ngsi-ld:camera:columpiosCam2,2024-12-09T23:47:00.042895+00:00,2024-12-09T23:47:10.123121+00:00,columpioscam2-2024-12-09_17-47-00.mp4,871
columpioscam3-2024-12-14_18-29-00.mp4,urn:ngsi-ld:camera:columpiosCam3,2024-12-15T00:29:00.041735+00:00,2024-12-15T00:29:17.111516+00:00,columpioscam3-2024-12-14_18-29-00.mp4,853
columpioscam2-2024-12-15_17-55-00.mp4,urn:ngsi-ld:camera:columpiosCam2,2024-12-15T23:55:00+00:00,2024-12-15T23:55:10.124313+00:00,columpioscam2-2024-12-15_17-55-00.mp4,853
columpioscam2-2024-12-14_17-56-00.mp4,urn:ngsi-ld:camera:columpiosCam2,2024-12-14T23:56:00.042895+00:00,2024-12-14T23:56:10.123121+00:00,columpioscam2-2024-12-14_17-56-00.mp4,851
columpioscam2-2024-12-17_10-50-00.mp4,urn:ngsi-ld:camera:columpiosCam2,2024-12-17T16:50:00.042902+00:00,2024-12-17T16:50:10.039195+00:00,columpioscam2-2024-12-17_10-50-00.mp4,843
columpioscam2-2024-12-15_17-58-00.mp4,urn:ngsi-ld:camera:columpiosCam2,2024-12-15T23:58:00.061218+00:00,2024-12-15T23:58:22.099797+00:00,columpioscam2-2024-12-15_17-58-00.mp4,843
columpios_cam4-2024-12-09_08-33-00.mp4,urn:ngsi-ld:camera:columpios_cam4,2024-12-09T14:33:00.049818+00:00,2024-12-09T14:33:12.404762+00:00,columpios_cam4-2024-12-09_08-33-00.mp4,837
columpioscam2-2024-12-15_21-48-00.mp4,urn:ngsi-ld:camera:columpiosCam2,2024-12-16T03:48:00.051214+00:00,2024-12-16T03:48:19.051557+00:00,columpioscam2-2024-12-15_21-48-00.mp4,834
columpioscam2-2024-12-09_20-42-00.mp4,urn:ngsi-ld:camera:columpiosCam2,2024-12-10T02:42:00.050624+00:00,2024-12-10T02:42:15.693446+00:00,columpioscam2-2024-12-09_20-42-00.mp4,833
columpioscam2-2024-12-14_22-13-00.mp4,urn:ngsi-ld:camera:columpiosCam2,2024-12-15T04:13:00.041576+00:00,2024-12-15T04:13:11.100832+00:00,columpioscam2-2024-12-14_22-13-00.mp4,833
columpioscam2-2024-12-09_19-21-00.mp4,urn:ngsi-ld:camera:columpiosCam2,2024-12-10T01:21:00.052011+00:00,2024-12-10T01:21:18.100020+00:00,columpioscam2-2024-12-09_19-21-00.mp4,830
